gridnumber,capital,Portfolio[0 0],Portfolio[1 0],Portfolio[2 0],Portfolio[3 0],Portfolio[4 0],Portfolio[5 0],Portfolio[6 0],Portfolio[0 1],Portfolio[1 1],Portfolio[2 1],Portfolio[3 1],Portfolio[4 1],Portfolio[5 1],Portfolio[6 1],Portfolio[0 2],Portfolio[1 2],Portfolio[2 2],Portfolio[3 2],Portfolio[4 2],Portfolio[5 2],Portfolio[6 2],Portfolio[0 3],Portfolio[1 3],Portfolio[2 3],Portfolio[3 3],Portfolio[4 3],Portfolio[5 3],Portfolio[6 3],Portfolio[0 4],Portfolio[1 4],Portfolio[2 4],Portfolio[3 4],Portfolio[4 4],Portfolio[5 4],Portfolio[6 4],Portfolio[0 5],Portfolio[1 5],Portfolio[2 5],Portfolio[3 5],Portfolio[4 5],Portfolio[5 5],Portfolio[6 5],Portfolio[0 6],Portfolio[1 6],Portfolio[2 6],Portfolio[3 6],Portfolio[4 6],Portfolio[5 6],Portfolio[6 6]
21,0.437849,0.527864,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.527864,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.527864,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.527864,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.527864,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.527864,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.527864,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034
22,0.461458,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
23,0.485341,0.324319,0.618034,0.618034,0.618034,0.618034,0.381966,0.381966,0.324319,0.618034,0.618034,0.618034,0.618034,0.381966,0.381966,0.324319,0.618034,0.618034,0.618034,0.618034,0.381966,0.381966,0.324319,0.618034,0.618034,0.618034,0.618034,0.381966,0.381966,0.324319,0.618034,0.618034,0.618034,0.618034,0.381966,0.381966,0.324319,0.618034,0.618034,0.618034,0.618034,0.381966,0.381966,0.324319,0.618034,0.618034,0.618034,0.618034,0.381966,0.381966
24,0.5095,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
25,0.533939,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
26,0.558661,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
27,0.58367,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
28,0.608968,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
29,0.634559,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
30,0.660447,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
31,0.686635,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
32,0.713126,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
33,0.739924,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
34,0.767033,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
35,0.794456,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
36,0.822196,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
37,0.850258,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
38,0.878644,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
39,0.90736,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
40,0.936408,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
41,0.965793,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
42,0.995519,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966
43,1.02559,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.236068,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.236068,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.236068,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.236068,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.236068,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.236068,0.381966,0.381966,0.381966,0.381966,0.381966,0.381966,0.236068
44,1.05601,0.381966,0.381966,0.381966,0.381966,0.236068,0.236068,0.236068,0.381966,0.381966,0.381966,0.381966,0.236068,0.236068,0.236068,0.381966,0.381966,0.381966,0.381966,0.236068,0.236068,0.236068,0.381966,0.381966,0.381966,0.381966,0.236068,0.236068,0.236068,0.381966,0.381966,0.381966,0.381966,0.236068,0.236068,0.236068,0.381966,0.381966,0.381966,0.381966,0.236068,0.236068,0.236068,0.381966,0.381966,0.381966,0.381966,0.236068,0.236068,0.236068
45,1.08678,0.381966,0.381966,0.381966,0.381966,0.381966,0.236068,0.236068,0.381966,0.381966,0.381966,0.381966,0.381966,0.236068,0.236068,0.381966,0.381966,0.381966,0.381966,0.381966,0.236068,0.236068,0.381966,0.381966,0.381966,0.381966,0.381966,0.236068,0.236068,0.381966,0.381966,0.381966,0.381966,0.381966,0.236068,0.236068,0.381966,0.381966,0.381966,0.381966,0.381966,0.236068,0.236068,0.381966,0.381966,0.381966,0.381966,0.381966,0.236068,0.236068
46,1.1179,0.381966,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068
47,1.14939,0.381966,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068
48,1.18124,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.381966,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068
49,1.21346,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068
50,1.24606,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068
51,1.27903,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068
52,1.31239,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068
53,1.34613,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068
54,1.38026,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068
55,1.41479,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068,0.236068
