gridnumber,capital,Portfolio[0 0],Portfolio[1 0],Portfolio[2 0],Portfolio[3 0],Portfolio[4 0],Portfolio[5 0],Portfolio[6 0],Portfolio[0 1],Portfolio[1 1],Portfolio[2 1],Portfolio[3 1],Portfolio[4 1],Portfolio[5 1],Portfolio[6 1],Portfolio[0 2],Portfolio[1 2],Portfolio[2 2],Portfolio[3 2],Portfolio[4 2],Portfolio[5 2],Portfolio[6 2],Portfolio[0 3],Portfolio[1 3],Portfolio[2 3],Portfolio[3 3],Portfolio[4 3],Portfolio[5 3],Portfolio[6 3],Portfolio[0 4],Portfolio[1 4],Portfolio[2 4],Portfolio[3 4],Portfolio[4 4],Portfolio[5 4],Portfolio[6 4],Portfolio[0 5],Portfolio[1 5],Portfolio[2 5],Portfolio[3 5],Portfolio[4 5],Portfolio[5 5],Portfolio[6 5],Portfolio[0 6],Portfolio[1 6],Portfolio[2 6],Portfolio[3 6],Portfolio[4 6],Portfolio[5 6],Portfolio[6 6]
477,387.717,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.27,0.27,0.27,0.27,0.27
478,392.227,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27
479,396.79,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
480,401.405,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
481,406.074,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
482,410.797,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
483,415.575,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
484,420.408,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
485,425.297,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
486,430.242,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
487,435.245,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
488,440.306,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26
489,445.426,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26
490,450.605,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26
491,455.844,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26
492,461.143,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26
493,466.504,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26
494,471.927,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.27,0.27,0.27,0.27,0.27,0.26
495,477.413,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26
496,482.963,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26
497,488.577,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26
498,494.255,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.26,0.26,0.26
499,500,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.26,0.26
